a_number,b_number
$-@*@$--#@,$@-$+*+*]=
$]+=[=+$@$,$@+-*@&-#@
$@[[=]]][[,$@+-$[=[*+
$@-$--@=&$,$@]&-[$[[$
$@+@@-=#[$,$@--*$@-[$
$]*+[&+-@*,$-@]]-#]$=
$-@]]@+#&=,$]+[#$]-[@
$@[&$@-=*],$@-*+#[@&+
$@-@+++[][,$@+@]-*[]*
$@#]$#$$&[,$@$$-=---@
$-#[[&#]&#,$@][$@#-&&
$@]+*[#]&=,$]+=*+[#=[
$-#[[+[**],$@--**+[*-
$@--*]@#[*,$@]+&&&#&+
$@=[@-+$+[,$@]-$[@=]]
$@+@*#[]$@,$@]*+-#*]]
$@[-*]*#-@,$@---$-$#=
$@-$]@@+@&,$@+@[*[$+@
$@$$$[@-#+,$@+*@**@@*
$@+@*]**$@,$-+]+==-=[
$@-**&[]+[,$-@@&$=*$$
$-@@[=]$&[,$@]+]]*$@[
$@&]@**@*@,$@+&==-*-[
$-@]$=#+]],$-#[[##]&-
$-@[[+@#&=,$@--*&@@[]
$@+@&*[]&$,$@--#*@=[&
$@[==-=+++,$@&$+@*$==
$]+[]=]]*#,$@+-@@*@#$
$@=@]#@]]$,$@+[@&&+-]
$-*[#[[$]@,$@$&&$+-+[
$-*]*@&&[*,$@+-*@&-#@
*@@@,$-#[&@$[&@
$@+@+$&+@*,$@+-#]+&+]
$@+@++@@[-,$@+&&+&###
$@+@#$=-+$,$@-*+*@@+#
$-@*]-@-@@,$-**&-[&+$
$@+-#$=**$,$@+@[@@[]*
$@+-]]+#$$,$@+####+[#
$-**]=]=&],$@+-#[@+$$
$-*=&]-=$+,$@[#@[@=@=
$@++*#=&$&,$@]$]#-+@$
$@@#&&]--=,$-@+@#+$[+
$@#&$@@@*&,$@--]@+[&$
$@$+[[=-][,$@+-#@#+=+
$@&@*+@-]],$@&-++$*#]
$@$+#+&--*,$@&[-]@#-[
$@+@+#*[--,$@--@==--@
$@]*[@[-[],$@-@#&]=*#
$@---@@*[@,$@&#=#=#]=
$@+-*@=]@-,$@+@**[++=
$-@*]#*-#*,$@]+**$-=*
$@]*[=-]$@,$@*+=$++&@
$@+-*-$-@*,$-##*]@+@-
$@$@+*#[=],$-##+*#[=]
$]+$][[++=,$]+$][[++]
$-**=&@&#*,$-#[*&+&@#
$-*[+*$===,$@$]+$]]-$
$-#=&@$[]$,$-*-+$-]-&
$@+&=$+=++,$@-$*++[@*
$-*-@][&&$,$@]+*&]#$&
$@+#++@+@[,$@+]+&+=[-
$@[=[[@&@@,$@+]+@&-*[
$@+@=$*##=,$@+-#-@#-+
$@&--[$]*[,$-#[-&[@+$
$@&=$=*][=,$@+-*#[=+#
$@[===+*[$,$@+]#=-+-$
$@&+$$#+]],$@+]=@$&#+
$-#+&*@+&+,$-@]]-#]$=
$@+@+$=-=*,$@+$$-*[-+
$@+@*]@#]],$@[+[+$=#]
$@]*#@#==@,$-$[#$-@#]
$@[-**##&#,$@&@-*[#[+
$-@=][--#*,$-@*]$@]@*
$@]$++=+-=,$-*@#-[++[
$@+@+=#*+=,$@--]@+[&#
$@+@+*@+*],$@++&$]]-]
$@=]*]*=[*,$@]$#-=]@-
$-#&#*[#@-,$-@#[+$+##
$-*&]&=$*&,$@$$#*+@$-
$-@#$[+**@,$@+-+@$+@&
$@+#&[]-@[,$@+-*@&+#$
$@+-@-=@&$,$@[$--+&$[
$@]*##[@&-,$-*=+&#@[$
$-*[=&+-]+,$]*=#*#=&*
$-@=&+&[$@,$@[-=*+$+#
$@+]=][--#,$@++$#[&==
$-#+@+$+-$,$-#+@+]$@&
$@+-$*@]-+,$@$&$-=+$#
$@+*]@$@#],$-=[[-]#]]
$@###*--]],$@+-#**]@]
$@-*$#&$]#,$@[=#@&&+#
$@+@#=$@[*,$@===][[@[
$@+&#@=[[=,$@+-]-$$*[
$@&$$#-+&$,$-@*@&[=]*
$@+-+*$#$$,$@+*$=$+]+
$@+##@$$==,$@+-$@-&[-
$@---]-&#=,$@+@+##[[#
$@+*@]*@$&,$@--@#**]]
$@&@$=]+#@,$@***$*[&-
$@&-&@+[==,$@&-@*#+#+
$@-$[#-]+[,$@+@*@#-==
$@=]]$$=@@,$@+-#**]&]
$-&-&-=[-&,$@-@*][=-&
$]++&$#=$$,$]+]#$]-=&
$@+@&[&]##,$@+-@&-+-@
$-**&]**$+,$@[-=$]-=+
$@]$@]=--*,$-*=*]==@@
$@+@+&#*-*,$]*]$=#*@$
$-*-@-]+-@,$@]$==#--@
$]+[&@[@=&,$@-$=@#@&$
$@=**-]-]@,$@--*#=#*=
$@--$$=*=#,$@=#-+]$[$
$@+&&*-*@*,$@--*=@+@+
$]+[*#-*-&,$@+&$[+&]]
$@&-+[++&$,$@[==]+$$$
$@+@=[&-$*,$@+@+#-&&$
$@-[[+#-=-,$@--][$[$#
$@&+*@---*,$@-@++@--&
$@&$=+-**&,$-$+[#+@]@
$--$-=--$+,$@-*[==+-@
*=[[,$-*#[&$&+-
$@-=#&#@-&,$-*[*[[[[-
$-$@&*$&&#,$@]+#+-]@&
$-@@*+$*[#,$-**&$]#[=
$@*##]@*==,$@&-#*&&$$
$-*-@=-&-[,$-**=-=#$-
$@$$**@#*],$@##+=$$$]
$@**=@===#,$@&$**]#@@
$-#[&@=##@,$-*@]-#=+-
$-*[&-]$]*,$@&@-[]*--
$@$]&@+*-$,$-#$[@[--*
$@$@*[[[@],$@+-#**]@]
$@-$*&=+]@,$@&$+**=##
$@[&+&&=&&,$@=*=#=-&=
$@$$&]#&#&,$@$-#]&$$=
$-#&*@[[==,$@&-&*[[]]
$-@=$-]@[-,$@-$=$+[*-
$@-$=&]&#-,$@-+&]$[]=
$@+@$@-@-=,$-@+$#-=[]
$@+@*[[&=@,$@-]&&+[[=
$@+#&==##[,$@+*==+-$+
$-*-&@$##+,$@-@-$#]=[
$-*@=$[=][,$@+$*#-]&#
$@=[@$*=[],$@+&*+]@+#
$-$@=+]+&],$@+#]+##@=
$@[&-@]-#],$@$]+$@$]+
$@[[]-=[=-,$@=-[=[=-*
$@+=@#$$*=,$@=+*-+$@#
$@+-+@$+#&,$@-*$+++*]
$@+@+#@&*-,$@+*]=]+]=
$@+-*@=$-*,$@&-&+&++&
$@+@+&+*##,$@-@*+#@+$
$@+-=+$#[$,$@[&$[+-&&
$@@]#]]=#],$@+-#**]@]
$@[&&[$@+[,$@+@&#&-[$
$@&+=+&]=],$@[[*#*&$=
$-*#=#&[-=,$@+*]][*=-
$-@]][]-+[,$@-@-]]==[
$@[=*#-@@+,$@&--][-=]
$@+&]$@*]],$@+*@=$+[@
$@+$=[=$&#,$@+@&#&-[$
$-#$=+&]]+,$@&$&@=--&
$@]*=-$-=&,$@+@#[=]&*
$-@-=@@][=,$@+-#@[[#*
$@+@+--[##,$@+-$&#=@#
$@##$]]]=+,$@&$--+-+-
$@[#=]@]$$,$@+#+-[$@[
$@[&]=&==&,$@=[@*[]-]
$@&*=[+=@#,$@]$$=]&&]
$@+@&#+]@#,$@+@@&]]*=
$-*]=]##[=,$@-@-=+@[$
$@-$*&-]]-,$@]##@*]]*
$-**@]-&-],$@-=##+$[*
$@[=#]@**=,$-**&=#***
$-@*@&=#[#,$@+@*+[@=@
$-#]&#[-&],$@[&@$@$$[
$@-**&-]]*,$-$+]$+=$+
$-@]*=+=&],$-#$@$#[*$
$@+&#[*-@&,$-[-@&@-]#
$@@-[][*-@,$@#--$$@$*
$@=]]-*-*+,$@=[[*-$[[
$@+@+@@[#-,$@[[**#=#=
$@]$#-]=*+,$@+*=@=[&-
$@*@[#@[#+,$-#++$[]+[
$@$]+&+]@=,$-@@][&$&#
$@$#-@-#&&,$]+[&[[@@]
$-$+$+@@+*,$@&--@&]@$
$@&$+]-&[+,$@+-$+[[][
$@-$=@#@&$,$-#]=[]+@=
$@+&#=$@=@,$@+-+$==&&
$@+-+[++++,$@+@]&@@@@
$@--@[#=#$,$-**&*[*[]
$@--[-[@#[,$@+-*#-[=]
$@-$*@$=&-,$@&@+]#[$+
$@&--$[=+#,$@**=-[$[+
$@[#]@$+*&,$-*]@[@==@
$--$+#]=-$,$@&-#[-&&]
$@+#]*=]+=,$-*#@&=#]#
$@@**&=#$=,$@=*[@&#-+
$@&-=]+&=$,$-@#=$##$+
$-*]&#=&$&,$]*[$+#+=+
$@+&*$=$&#,$@+@[--[@*
$@[#@@*[-],$@*#[=*[+$
$-@--+-+=-,$@-*+]=$-*
$@+@#[#&]&,$@+@==[+=[
$]*+$@*[+-,$@++-*[$]]
$@+@*-$&--,$@+@$+[[@@
$@+@==*+#@,$@]$@]$#[+
$@&*#*&#-=,$@[##=-]=-
$@-$]-*=&*,$@-*+@[=@-
$-#=@#@-&*,$@=[@#[#@@
$@&-#[+@*],$@[#[[[]*]
$@-$@@]##*,$@=*[=*&#&
$@--&==&@@,$@$&@-@@@#
$@-$][**=],$@@#@=-@@-
$@$$[-#@-@,$@-$=#[]#+
$@+@[#]&$+,$@-@-]]==[
$@+-$[]&+=,$@[[#@=*+&
$@-=#-$]=*,$@[#]$##=&
$@[=[[[=--,$@$]+*@&[*
$@$&#+=*]],$@[&*&=-#@
$@&$**@-]@,$@+@+*=$@]
$-@-*[&-++,$@&-=*=+]*
$@-@**@-$@,$@+-++-*&&
$-*&@-[]$*,$@-$&$-===
$@+-$***]$,$@+$][]=$=
$@[[#-$][*,$@[===]#=*
$@]*=-$-=&,$@--]*=[*&
$]+=@&$=[+,$@[@&@*##$
$@+*&-+@&-,$@-@@&=@@@
++&=,$-*@-#&=]+
$@+-@@@=]$,$@+@*@+-$=
$-@-*]+[[-,$-**=-+$=$
$@]#==@@$],$-*=-$[*+#
$@+@*-[]*+,$@-+*=&&#[
$@&$-#-[[@,$@##]&]#*+
$@$+++@[+-,$@[[-=#*#+
$]+=[-*]&&,$-*-&=-@]#
$@[=[]==]-,$@+@#=#]-]
$@&$&&+[$@,$@--*=@+@+
$@&$[=$###,$@-$*@$+-+
$@[#]+*&-#,$@+&#=--&=
$@$$]#]++$,$-$+$===*-
$@++[#-#*$,$@&-#]$[==
$@+&&$[*&@,$@+-@@*+$$
$@-@*+-@**,$@+&&==##&
$@--#*@=[&,$@&+[]@[@[
$@-=+[-==@,$-$+$@&+[-
$@&-*$[&*],$@=[]]+&*&
$-*@-*@$$+,$@]$-]-]$]
$-@*#]*[&@,$]+=&=]#*]
$-@=@&[]+[,$]+[&#&#[]
$-@*[-[-@#,$@+-$$$-@*
$@[&**@*[@,$@--$$-#]@
$@&+$@[[==,$-@=@=&-#=
$@+@[*=$]$,$@+@+@==$-
$@+#&]&*]-,$]*[]&$@&*
$@=*]+-$@+,$@+-#][+=#
$@++=+=$]+,$-@[*-]--&
$-@-&++[*[,$]*+@#++$@
$-@$+&#@@+,$@--*$**#]
$@+@*=&[$+,$@+@[&&#$@
$-#&$@@@&-,$@=[@]$[=$
$-@[@[*-[#,$@+@*]&+**
$-*#[$--++,$@+-#**]@]
$@+@=[+@]@,$-*[+][@@@
$]+#&+-+][,$@=[]-$@]-
$]*+@$@@]$,$@$&&#@@-*
$@--]-]]=],$-*--[]=*=
$@+@[++$#$,$@+@]$-@@@
$-@=-=@=-],$]+=@+*-+*
$-*[@&=$+=,$@+&=$+#@-
$]+[&[$+$*,$-@&$*$@&$
$@+-+&[$-$,$@+&*]&$##
$@]$=$]=[-,$@-@-++@@]
$@-[++@$=[,$@+@+$#*+-
$@+&@*&@-[,$@[@+]*&=+
$@&$&-#-+@,$--#-]][]+
$-**=&]$&@,$@$$=]&++[
$@=*#]][]=,$@-=##*]@@
$@+-#*+$$[,$@*##[+&[*
$@##$[&*&*,$@=]@-&&&]
$@[&[-@-*+,$@-$=#[]#+
$@&$*@@=##,$@-=$-@&*]
$]+]=*[$]=,$@-$]*=]$+
$@-=&[&#&-,$-$+$===*-
$-#$[+++#@,$@+-&+]--]
++&=,$@[#-*@#-+
$@+-+@+=*+,$@+#&++$[@
$@-[$#$---,$@[@&[&#*$
$@-@-+#+]*,$@+-*@-$&$
$]+=+#-&[],$-=#$#@*#&
$@+@==$*-=,$@*&-]-]&]
$@--*##++[,$@-***&[*$
$-$&@]@*$-,$@&+++*&[*
$@#=@=&$&+,$@@=*]&+#$
$@+-*##=@=,$@--*]*--]
$@-=&#$&=$,$-@@#--#$*
$@]$+@[#+],$]+=*@&-&@
$@+@+-@]@#,$@[[#@=*+&
$@[&]==-@-,$-+**-#&+#
$@+@*$=##],$@=[@]+=+]
$-@*&**&*&,$@+--[[$][
$@[-$@-]&+,$@-*+#[@&+
$@-$+[==@=,$@&@+#-*@[
$@&-$$+$+=,$]+[+$@***
$@[-*@#++#,$@-@#*##$+
$@$==--=--,$@---+#&]@
$@-@*-$=&$,$@&@+]]*-+
$-@]=$]$][,$@$$[-=*$$
$-@@[$-$$&,$@-=##*]@@
$-##*=]&@@,$@+-+#]**]
$@=]]-&*@&,$@-=$$[-]&
$]+*[@+]*&,$@@#@=&*&@
$@=&@-=+@&,$@+-#[-$#@
$@@]@@@+@@,$@[&&[&$$*
$@&**=]@@*,$@[]=[&*[]
$@+@[+-$*[,$@=[@*-#@]
$@##+*$+#*,$-@@+*$[[-
$@=[@-$-#],$@=[@-+$+[
$-*[=]=[*[,$]+[]#][=+
$@[=[@]]]-,$@-=##@[@[
$@+-*@@]&=,$@=+-[-[-+
$@[&]+-+]-,$@=]&]-=-=
$@+-+[&$-],$@-*$]=@@-
$@+#@[]=#@,$@#*[+[@]$
$@+-@[$[[$,$@]-$+$+]$
$@+#]==@@[,$-$[$+-+=*
$-#][]=*#*,$@*]]&@&$+
$@]$-@+]]&,$-@[#=+$$[
$-[#]=[-+],$@+[**&*--
$-&-#=#+=$,$]+$#-#*-@
$-##-&[*@#,$-#]&#[-&]
$@&$]]=]+=,$@+@[=]&@#
$@*@@[&&@=,$@+@#]]#*[
$]+=*&@#&#,$-*=@[*][+
$-@&-[]**@,$@-@-]@#[[
$@###==]*+,$@=&[##@**
$-**&#$-=$,$@[&$@*#[[
$@-@*+*@@$,$@+&+$--$#
$@+-@@=#[[,$@+@#*[-++
$]*[=#]$=],$-@-@#][@#
$-$+-&&+$$,$@+]*@]+*#
$]*++$*]]@,$-@-#]&#*$
$@[[]-*=*[,$@[=**=$*[
$]*]$*+]@*,$-*==&#+-*
$@+@=&[&--,$@]&--+[[&
$@=]*==&*$,$]+*[-@#=]
$]**&=+&]],$@-=@$&#$*
$@-*$#**]=,$@+@[]@[[#
$-]=]=]=[&,$@&-+$----
$@+@@@]&#$,$-*]*]*]]*
$@=*+][&*$,$@&-#-+&+$
$@[-#@&&#$,$@-=]$]-+&
$@[#@@@[@#,$@&$]@#@@$
$@[#@=]&*[,$-*=@-+=]+
$-*[@=+*]$,$--$$#-@=*
$@[]&=@@-@,$@&@$-*[@@
$-*]-[]#*&,$@-$]&*-$[
$@&$$=++*[,$@-@[]&]]$
$@$+&-#-**,$@=[=[&]-@
$-@$#$@$-#,$-@&-+&=[&
$@++&#&+&@,$@&$@##++&
$@+@&$&]+[,$@#--$$@$*
$@+@--#]-$,$-@$&]#[*&
$@@#&&&*[@,$@+@$=@&-$
$-@*&$+&++,$@[#@@#@*&
$@[@*#+&&],$]*[]##*##
$@-++$=[*-,$@[&+$+&@[
$@&+=$+@$*,$@***$[#&&
$-#+*[#=]=,$@-@++$]$-
$@+@]$+$=#,$@+##@**#@
$-@*][*=#$,$@+#+#=$@#
$@+-#[*[-+,$@&]@-]@]@
$@++]##]$],$-**@*-&+*
$@$@+#*--&,$@-$#$-=&&
$@+@[]]@@=,$@-@-*+-[+
$@+@#+==]*,$@[[#@-=@*
$-*-]#&*#@,$@+*&=$$#&
$@+]=--*]$,$@+-$[=@##
$@+##--@@+,$@+-*[#[[+
$@$]+]-@+@,$-#+*[@$$*
$-=][+][=+,$@+-#**]@]
$@]]@@]+++,$@+&&]-+*#
$-**&+==&&,$@+[$#&=]-
$@-@#+-=$$,$@+@$&$#[&
$@[&$#*&$*,$@-*$*$*#&
$@[+++&@@-,$@[[=+=-$$
$@+&*+@&-=,$@-$&$#=&]
$@+@#[@]*+,$@+@]$*$]+
$@=[[-$$#[,$@+-#**]@]
$@&$@@#&#],$]+[[@--$@
$@=]*[[#&#,$-*#@]*=++
$@+@[#*+]@,$@-+@@*+==
$@$&$#[]&],$]+*$#-$&$
$@-+==]@&@,$@##]+]&@+
$@[&*#-#-#,$@+@@-][@&
$]+[[@--$@,$-@@@$]=-]
$--*@&#[#],$@+-*]=&@#
$-#&&--+]&,$-@[-#[[]=
$@+[+$+@+],$-$+-&&++-
$@[]]#*#&[,$@[=[[=&--
$@+&&=#=-*,$@[-*=#*$]
$@&@#+@-++,$@+@*=[#][
$@+-[[-]=#,$@+&##-]=#
$@+&#+&&@-,$@]=$###@@
$@-*$$&@&$,$@-=+=]++[
$@=&&[&@=&,$-@]&$&]=-
$@+@]]*-&],$@-$[-=+-@
$-*=[=][*@,$-$+[&[]][
$@--#&]+@#,$]+[[@--$@
$@--]&*#*+,$@+@$+@+#+
$@+@]-=**+,$-[-@&@-]#
$-#&-[#**@,$@+@+$#*+-
$-@@@+*++],$@[==+&*-#
$@+=+@#@*$,$@-$#$-=&&
$@$@+[#$#*,$@]$]#-+@$
$-@-*++]$&,$-@*[--&[*
*===,$@&-*+[++*
$@---[[$**,$@$]]$#+[+
$@+@====]$,$-*&+][]&]
$@=*--#*##,$@+-[+]]#]
$@&$]--#+#,$]+[#$#=]*
$@-**]$=-#,$--#-]][]+
$-@++-=*[#,$@$&=[&#&]
$-$+-&&+$$,$-$+-&&++[
$]+#@][[&&,$@+-+]-[]@
$@+@[=$-&+,$]+[+$#]#$
$-#&]*-$&=,$-@$]@$+==
$-&*[*]#=],$-**@*+---
$@+&&#@]-#,$-@*]$*$-=
$@]$&=@#=[,$-*]@#&$[@
$@=[@=&$$$,$@=*###-+#
$@=]&&-@[-,$-@--+=-$+
$@&*#*$$#$,$@+@#-$-+-
$@&*[-==#$,$@+$][]=$=
$@&@#-$@[@,$@[@*$[+$&
$-@#=@*+&-,$@--*+#---
$@+&[+$*=&,$@--]]@&@]
$-@@&##+&+,$@=[@&]=$=
$@+@=-=-@[,$-*=#*]]=-
$-*&+#**@=,$@=]@&+=+=
$@+-+&@$[@,$]*=#*#=&*
$]+[$&&@-$,$]*]$=#*@$
$@+@+$#[+#,$@-+&*+=+=
$@--**#+[+,$@+*=*$-+*
$-@-@[]@--,$@&$@=-&[]
$-##*]]=+[,$@&$@#]&@#
$-@[-+@@@-,$@+--**@[*
$@&$@+=#=@,$@=[*]*-$&
$]+=&$[$#=,$@-*]=&&=]
$-**]=[@]$,$@+-=-#]=$
$@+=]&]-&#,$-*@*##]][
$-*]-#[=+=,$-*[#=&@[$
$@&+=*@@][,$@]$$@=]][
$@+-##*$*&,$@+@+*=$@]
$@*+=#*[=@,$-@*]#$#&[
$@-$=[=[==,$@-$$+*+&&
$@-$$-]@+-,$@-@-][][=
$@-=$$=&-=,$@]@-[&=#@
$@+&&[&&*-,$-*[-#*[]@
$@&-$$-+**,$@[&=]##@@
$@[[=#*-*$,$@]$--=-+-
$@=**$=]&@,$@]--*[#--
$@&$&][[-&,$@&$=]-+#&
$-*[-#-$=&,$-$[]+@#[#
$@*+&[&#*],$@+&=$+#@-
$@+-*@#*@#,$@@=$+=$=$
$@+-$]-[#],$@-=##@[@[
$@&+#[]**&,$@=--[&-#=
$@]$[[[[+*,$@]$[$&@#$
$@&-*]=$==,$@+@@-++]#
$-@-&+[-#-,$@&*#*++&$
$@+@[]**@*,$@+@-$@+-=
$@]$#]-=&-,$@[&#=-@&*
$@+[*+$[*+,$@$-]==]=]
$@*###-[]+,$-@*[-*--@
$@+[=*=*$$,$@+]]&-&*#
$@+@+***$@,$@--@&++@@
$@$*[$$-@@,$@-=+**==*
$@]$]@@#@],$@=*]$#$=-
$@[#=-*[[#,$@[#+$-&@$
$@+-+&#[]$,$@+@#[&[**
$@*&@]$$@&,$@+-&#$&+=
$@@[[[]-*[,$-@*]*$-=+
$@+@+]#=]$,$@+@[[*+[[
$@+-@=-]-@,$@+@#@-]+$
$-#$*+-$--,$@$+[[=-][
$@=&&]=@=@,$-@*]*-=$+
$@+@[&+**@,$-#[]@$]$$
$@=[@&$&=-,$-$[=]#&]$
$@+@[[***[,$@&-+$----
$-+++-*-=[,$-*==-$@$@
$@&$*$=]=],$@=&@]]*]$
$-#&+[@$#[,$@@[&+]&#-
$@+-$[#-[[,$]+#@]=-&-
$@-+++###*,$@+&***&&-
$@*-[&#@*&,$-##&=@@[@
$@&+$-$]]+,$-=+=$=+=-
$@]$#+@@@],$@&@$$&$*=
$@=*=+**++,$-$+]=+-#-
$-**]+&+]*,$@+@@++$@+
$@--*&#=]#,$@+#&++$[@
$-&--=&#]&,$@--*##--=
$@]$]&*+$=,$@-$=#&+*=
$@+#]+*+&#,$@]$$@=]][
$@+&#[*[-[,$@&]@-]@]@
$-@]#=*]=$,$@+$*@*#][
$@&-+[-]=$,$@+@#=&$]]
$@&-+$**++,$@]&@&[[[$
$@]$*[*+#&,$@&$#-[$[-
$@+-$]#--&,$-@$+&#@@+
$@+@-=][*-,$@+&@@@*$+
$-$@@$-+&$,$-$@@$-+&#
$-+--=-&--,$@[[**#=#=
$@]$@]$#[+,$-@*]*$-=+
$@[-+@[@=[,$-*=&]-=$+
$@]]##*$==,$@+&#[=-@@
$@--]-[[#&,$]+@+-*+=&
$@##==]-+#,$@**-&-[&-
$@-=#@-&$*,$@--[[+-[*
$@***[$[-&,$@[#]$**=#
$@*@+=-]+],$-@[#=+$$[
$@[-*&=@[-,$@-$]-$#=*
$-@-[=]-@&,$@--]]=]#&
$-@=#@*=@$,$-*=&@-@@*
$]+[&#-*&@,$@$]=]&&#]
$@+#]#=]@@,$@+&==@+@@
$@+-##$==&,$@+*@]*@$&
$@=*=&--[+,$-#$#$$&#@
$@+#*=#@][,$@+-++#&+=
$-#$$#@==#,$@+@*[]@$@
$@+@#&&]=&,$@+@*@[@@@
$@+*=#*]@#,$@++&+@&++
$@+#=-#-+-,$-+[$]&&**
*$@##=+*]+-,$]*=@]&=]=
$@[@#&[+-$,$--$$@-[=&
$@=]$++#[+,$@=[@-+$+[
$-@#$[@]-[,$@--]-&#]&
$@=[@&--]&,$@*]]&@&$+
$@&$[[#&=@,$@[&$@*#[[
$@+-]-@=[&,$-**]*#@[@
$@[=[-[[--,$@+-$@-$$#
$@[=[=+=$-,$@=*=]$+-#
$@-=#@-&$*,$@+&&-$=-=
$@+-$+#-&-,$@&$@]$@-#
$@-#&-]**&,$-*--&&[=&
$]#+=[[+#[,$]+=&+*#=&
$@+[$*=#==,$@+&#*$*=&
$@-@+#$+-@,$@-@-&#*-@
$@&@+=$[+@,$-@-$=*=[#
$@]#[&===],$@-*$**=@*
$@&-+=#-*[,$-@*]+]*-]
$@***[#=]*,$@-@##$@+-
$@&-*#=[[=,$@[]=-@==-
$@-[=*+-+=,$@+@[@##[[
*+#&,$-$[]=][&-
$@+-#]+=+=,$@+*&*##**
$@+@#=#$=#,$@+#+#=++$
$-*#&@+*+*,$@=]@=*&&=
$@-=$&&@++,$@$$@+-+-+
$@+[#]@@@&,$@+-#**]@]
$@=[@-$-#=,$-$+-&&++-
$]*+@#++$@,$-*]#@&#+@
$-##*$@+@+,$-@*&#]&]@
$-*@$@+#-@,$-@[+@-&&[
$@+-#&]@&],$@+@--*&#-
$@-+=[--&=,$@+-#[-$#@
$@-=*=*-=*,$-***#=&++
$@&-=&]]&=,$@-$$+@]+]
$@-**@#-+&,$@&$$-[+][
$-@[#&+$$-,$@=[[*-$[[
$-$[*=-#[&,$@]+#+-]@&
$-**&][+$*,$@+[*]$+$*
$-*[$@&[[[,$-@*=&+]$]
$-##]-#]=[,$-#+[=[+=]
$]+$#]$-=&,$@=[]]]@-@
$@-@]*##&$,$@@[==[#&&
$@[@+$*=-$,$@-=$&##@*
$@+-[&+-]*,$@=[=[&]-@
$@+@]@=-]$,$@=[@*-#@]
$-+=&]#&=&,$@+@#@-]+$
$@+-+#]]][,$@+-$&#=@#
$@-@-+]@+&,$@+*]-*@*$
$@[=]=][+],$@+-]*$#@@
$@-@++$+&+,$@-*+@++**
$@&-*#$$=[,$@-=@$&#$*
$@[=#[+[*[,$@+-#@$+-]
$-#++*#@&&,$@$&=[&#&]
$@++$$&[[=,$@+-@[$$]@
$]+=[+##[+,$@-*+#[@&+
$@$+$-[*[+,$@[#]+$#**
$-@$=***=*,$-#=&@$$@&
$@+@$@&+-&,$@+@+-$$++
$-*&=][[][,$-&--]#]+-
$-$+[=$&@@,$-$&@[@[@#
$]+$-=#=[],$-*[*[-#[]
$@]$=&@$$$,$@=+[=@$=$
$@+@[@$+&-,$@=-#*&=&]
$-#$*=[#*-,$-#++-]-&[
$@+@&====[,$@+@$+[[@@
$@$@$@=#&$,$@-$$$#[+-
$]+#=$[=#],$@=&**@=-[
$@&$][=&@],$@[@&[&#*$
$-##*-]-]@,$@+]+@&-*[
$@$]=#@#[#,$@-=]-=][]
$@[==@-@=#,$@&--@&]@$
$-$#$++-]-,$-@-]&-#+=
$-$@$**]+&,$@]+#+-]@&
$]+*+*#]*],$@[&&*-*#*
$-**[][+-+,$@[[#@&[#]
$@=*[-$*[=,$-*-@+&[=$
$@+@&=]++-,$-**@*+---
$@&@*@*]*[,$@=[@-=@@#
$-@@*&[+=&,$@+-$@&&=+
$@+&*+$-]$,$@+@+##[[#
$@-$]#-+][,$@&$@*$-][
$@-@-*@=$=,$@-*$+]*@$
$@$++]**+[,$@$]=]&&#]
$@-[$&#-#],$@]+=&+][-
$-@=@==@#&,$@[[&[[-[+
$@+#+$*&&&,$@=]&]@&@=
$@-$=@=#&],$@&$--]]]*
$-@]=#[&*&,$-@][][@-@
$@@##]&*&*,$@+-@+####
$@+@]@@@$$,$-@&#$[*@[
$@=]@*+*-#,$@[[[[*==+
$-*]$[$+-[,$@+$+@*+#@
$@&$-=$$--,$@$$]*===&
$@+-*@[**#,$@$@$=@---
$@-@=*[$$=,$-**=$-*$#
$@&$-#*-#=,$@=++==+=+
$-$[[*#[]=,$--$$@-[=&
$@+-@=@-*[,$@]@$[&[=-
$@[=]@#@&],$@[-$@[@=]
$@=]&=&++#,$@[-+[+-$=
$@+#&#&###,$@-=##@[@[
$-**]+=]+=,$@-@++@]-]
$@+@[#-+&@,$@--*###=$
$@+--#-*=$,$@$$+[#=[-
$@=*+*#$+-,$]*+*=*==-
$-@*][$+]+,$@[#+=*$$$
$@=][--*++,$-*-&=-@]#
$@+-[#$#++,$@-@#]+][=
$@-*]][@]-,$@+-$]-&-]
$@[-#*-$$[,$@+-#**]@]
$@=*=#+[@-,$]*[+#]][]
$@=*+##=[#,$@[##*+]]+
$@#+*#+@#*,$@+&#[#[+]
$@+@[*#[#],$@+-$]-&-]
$@+[[@+-@@,$@+-*#@$-&
$@[[=$@+$*,$@+##@#]]#
$@$+&@]=-[,$@&-[-[*[=
$@+-#]&=&@,$@--]-*[@$
$@+@*[+-]+,$@+&$*]$+=
$]+#]&+#=-,$]+++[#][#
$-=[&[][==,$@-*$+]*@$
$-*]#*@@@=,$-*[]@**&-
$@+&@*[=]=,$@=[==]+]+
$@-&]$[[[[,$@&@$+$$@@
$@*+]@=##-,$@+@#@&###
$@+@]=-*-],$@+-[@$[*$
$@++*$+[=$,$@=*+#*@[=
$@&@++++-*,$@]$@-=&$#
$-*[*$$@#[,$]*[$+#+=+
$@-**=+===,$-##*[*&$*
$@-[@$]@@[,$@]$=[@]=&
$-@&&@+@=&,$@+&&+#-+[
$]*+#+$$@[,$-@[@]$]&-
$@+&=+#+$#,$@@=$$==-$
$-&-=$[[+=,$@+*]][-=[
